team,season,top_archetype,r2,w_Under-center TE motion,"w_Under-center outside, static",w_Downhill under center,w_Motion stretch,w_Gun RPO inside,w_QB-run spread,run_dir,shotgun_share,te_minus_backs,motion_rate,rpo_rate,qb_run_share,comps
GB,2025,Gun RPO inside,0.8,0.158,0.082,0.0,0.251,0.365,0.144,-0.0034,0.4605,0.3918,0.6667,0.1924,0.0521,"PIT 2023, LAC 2022, TEN 2025"
HOU,2022,"Under-center outside, static",0.86,0.0,0.401,0.379,0.0,0.036,0.184,-0.0861,0.3421,0.1573,0.3296,0.0412,0.0697,"DAL 2024, NE 2025, DAL 2023"
HOU,2023,Downhill under center,0.95,0.0,0.392,0.518,0.089,0.0,0.001,-0.0075,0.3008,-0.1654,0.4624,0.0376,0.0327,"MIN 2024, NE 2025, MIN 2022"
HOU,2024,"Under-center outside, static",0.78,0.151,0.511,0.108,0.104,0.126,0.0,0.1128,0.3074,0.358,0.5058,0.0584,0.0,"DET 2025, DET 2024, DET 2022"
HOU,2025,Downhill under center,0.89,0.121,0.0,0.678,0.046,0.0,0.155,-0.2555,0.3431,-0.1423,0.6241,0.0328,0.042,"LV 2023, DAL 2025, LAC 2025"
IND,2022,Gun RPO inside,0.92,0.0,0.184,0.239,0.0,0.47,0.107,-0.1756,0.4962,0.2366,0.3817,0.0992,0.0438,"SEA 2024, WAS 2023, CAR 2025"
IND,2023,Gun RPO inside,0.9,0.0,0.0,0.0,0.003,0.854,0.143,-0.2326,0.8359,0.2132,0.5,0.3411,0.0584,"CIN 2023, CIN 2025, CIN 2022"
IND,2024,QB-run spread,0.96,0.071,0.0,0.0,0.118,0.229,0.582,-0.1353,0.794,0.3895,0.4532,0.0974,0.1331,"PHI 2024, ARI 2022, WAS 2025"
IND,2025,Gun RPO inside,0.9,0.027,0.062,0.071,0.0,0.616,0.224,-0.2683,0.6057,0.4858,0.5344,0.2065,0.0463,"CIN 2022, CIN 2024, SEA 2024"
JAX,2022,Under-center TE motion,0.72,0.407,0.0,0.0,0.171,0.077,0.345,0.0361,0.5622,0.5863,0.5422,0.0562,0.0879,"LAC 2023, TEN 2024, GB 2023"
JAX,2023,Gun RPO inside,0.75,0.236,0.108,0.0,0.028,0.395,0.233,-0.1689,0.653,0.4977,0.5114,0.1279,0.056,"SEA 2024, CIN 2024, LAC 2023"
JAX,2024,"Under-center outside, static",0.62,0.0,0.43,0.089,0.0,0.368,0.112,-0.1967,0.4435,0.5356,0.3389,0.0837,0.0516,"SEA 2022, CAR 2022, NE 2024"
JAX,2025,Under-center TE motion,0.84,0.382,0.0,0.191,0.134,0.0,0.292,-0.0909,0.3273,0.3091,0.6909,0.0864,0.0833,"NYG 2022, PIT 2022, BUF 2025"
KC,2022,Gun RPO inside,0.82,0.0,0.028,0.0,0.129,0.843,0.0,0.0164,0.6025,0.4918,0.4795,0.1967,0.0121,"CIN 2023, CIN 2024, IND 2023"
KC,2023,Gun RPO inside,0.72,0.176,0.045,0.0,0.173,0.55,0.056,-0.019,0.6958,0.5985,0.6023,0.1856,0.0258,"CIN 2024, GB 2025, JAX 2023"
KC,2024,Gun RPO inside,0.93,0.179,0.0,0.0,0.0,0.821,0.0,-0.3603,0.5973,0.6409,0.5436,0.1309,0.01,"CIN 2024, CIN 2025, CAR 2025"
KC,2025,Gun RPO inside,0.86,0.0,0.267,0.0,0.0,0.713,0.02,-0.1405,0.5579,0.4545,0.4876,0.2355,0.0082,"CIN 2024, CIN 2022, IND 2025"
LA,2022,Under-center TE motion,0.52,0.332,0.0,0.21,0.289,0.169,0.0,0.0679,0.1719,0.0679,0.6652,0.0905,0.0636,"PIT 2023, JAX 2025, PIT 2022"
LA,2023,Under-center TE motion,0.87,0.443,0.0,0.262,0.295,0.0,0.0,-0.0538,0.2819,0.05,0.8231,0.0385,0.0152,"NYJ 2022, SF 2023, SF 2024"
LA,2024,Under-center TE motion,0.87,0.503,0.0,0.315,0.182,0.0,0.0,-0.1419,0.297,0.2112,0.7855,0.0165,0.035,"NYJ 2022, SF 2024, SF 2023"
LA,2025,Under-center TE motion,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0851,0.0851,0.9681,0.7979,0.0035,0.014,"NO 2022, NYJ 2022, CHI 2025"
LAC,2022,Gun RPO inside,0.64,0.028,0.398,0.069,0.094,0.41,0.0,0.042,0.3671,0.2815,0.4454,0.1092,0.0442,"TEN 2025, CHI 2024, GB 2025"
LAC,2023,Under-center TE motion,0.77,0.384,0.006,0.0,0.165,0.176,0.268,-0.037,0.5984,0.5123,0.6066,0.0902,0.0651,"JAX 2022, TEN 2024, GB 2023"
LAC,2024,Downhill under center,0.79,0.0,0.009,0.566,0.32,0.0,0.104,0.0041,0.527,-0.3719,0.4876,0.0165,0.0397,"SF 2022, HOU 2023, SF 2025"
LAC,2025,Downhill under center,0.89,0.0,0.0,0.629,0.266,0.0,0.105,-0.1163,0.4233,-0.5535,0.6233,0.0465,0.0402,"SF 2022, SF 2025, HOU 2025"
LV,2022,Downhill under center,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2472,0.163,-0.4539,0.4576,0.0185,0.0217,"HOU 2025, LAC 2025, HOU 2023"
LV,2023,Downhill under center,0.96,0.229,0.119,0.577,0.001,0.0,0.074,-0.1564,0.218,-0.0332,0.5545,0.0142,0.058,"NE 2025, HOU 2025, HOU 2023"
LV,2024,Under-center TE motion,0.68,0.508,0.0,0.079,0.0,0.246,0.167,-0.3333,0.4875,0.625,0.6167,0.0417,0.0476,"TB 2022, NE 2023, SEA 2023"
LV,2025,Under-center TE motion,0.5,0.29,0.082,0.264,0.0,0.157,0.207,-0.3014,0.311,0.5933,0.5311,0.0766,0.0457,"CAR 2022, TB 2023, NE 2022"
MIA,2022,Downhill under center,0.83,0.028,0.0,0.489,0.484,0.0,0.0,0.0081,0.3563,-0.4879,0.7419,0.0242,0.012,"SF 2023, SF 2024, SF 2025"
MIA,2023,Motion stretch,0.94,0.0,0.0,0.164,0.836,0.0,0.0,0.3021,0.6302,-0.5938,0.8229,0.0312,0.0204,"SF 2023, ATL 2024, SF 2024"
MIA,2024,Motion stretch,0.88,0.135,0.0,0.172,0.693,0.0,0.0,0.1742,0.5417,-0.2008,0.8598,0.0227,0.04,"SF 2023, SF 2024, LA 2023"
MIA,2025,Motion stretch,0.96,0.0,0.0,0.051,0.949,0.0,0.0,0.2626,0.5859,-0.6111,0.8485,0.1111,0.0149,"ATL 2024, SF 2023, SF 2022"
MIN,2022,"Under-center outside, static",0.73,0.065,0.373,0.342,0.087,0.134,0.0,0.045,0.2027,0.0721,0.455,0.0676,0.0263,"DEN 2024, HOU 2024, DAL 2023"
MIN,2023,"Under-center outside, static",0.75,0.25,0.522,0.077,0.045,0.068,0.038,0.1004,0.2358,0.3983,0.5368,0.0779,0.0571,"CHI 2025, NYJ 2023, DET 2025"
MIN,2024,"Under-center outside, static",0.92,0.0,0.573,0.427,0.0,0.0,0.0,-0.0155,0.2073,0.1503,0.399,0.0311,0.0446,"NE 2025, SEA 2025, HOU 2023"
MIN,2025,"Under-center outside, static",0.73,0.058,0.558,0.224,0.087,0.046,0.026,0.045,0.2162,0.2432,0.5856,0.0991,0.0472,"DEN 2023, DAL 2023, NYJ 2023"
NE,2022,Downhill under center,0.56,0.0,0.204,0.39,0.0,0.337,0.069,-0.2869,0.3893,0.2664,0.3115,0.0615,0.0279,"CAR 2022, TB 2023, LV 2025"
NE,2023,Gun RPO inside,0.71,0.449,0.0,0.036,0.0,0.477,0.037,-0.3934,0.4057,0.7049,0.5492,0.1107,0.024,"SEA 2023, LV 2024, LV 2025"
NE,2024,"Under-center outside, static",0.78,0.133,0.384,0.141,0.0,0.309,0.033,-0.1233,0.3607,0.4658,0.4429,0.0731,0.0395,"CAR 2022, DEN 2024, TEN 2023"
NE,2025,Downhill under center,0.89,0.0,0.404,0.509,0.0,0.0,0.087,-0.1077,0.2162,0.0115,0.5154,0.0346,0.0614,"MIN 2024, HOU 2022, HOU 2023"
NO,2022,Under-center TE motion,0.97,0.539,0.088,0.119,0.0,0.254,0.0,-0.0903,0.1949,0.5343,0.5523,0.0542,0.0177,"NYJ 2023, TB 2022, CHI 2025"
NO,2023,QB-run spread,0.49,0.281,0.07,0.282,0.0,0.0,0.366,-0.1292,0.1818,0.2344,0.4689,0.0383,0.1739,"BUF 2025, NYG 2022, CHI 2022"
NO,2024,"Under-center outside, static",0.87,0.015,0.89,0.0,0.095,0.0,0.0,0.3226,0.2782,0.3871,0.4234,0.0202,0.0159,"DET 2025, CLE 2022, ARI 2025"
NO,2025,QB-run spread,0.69,0.225,0.0,0.0,0.0,0.0,0.775,-0.2353,0.549,0.3775,0.6765,0.1618,0.2093,"NYJ 2025, PHI 2024, IND 2024"
NYG,2022,QB-run spread,0.86,0.303,0.169,0.166,0.032,0.0,0.33,-0.0082,0.3402,0.3197,0.4631,0.0451,0.1191,"JAX 2025, BUF 2025, CLE 2023"
NYG,2023,QB-run spread,0.65,0.243,0.068,0.099,0.124,0.129,0.338,-0.0457,0.4898,0.2741,0.5482,0.1269,0.1005,"CLE 2024, PIT 2023, TEN 2024"
NYG,2024,QB-run spread,0.82,0.209,0.093,0.165,0.0,0.047,0.486,-0.139,0.4459,0.3812,0.4395,0.0807,0.1357,"BUF 2025, CLE 2024, CHI 2024"
NYG,2025,QB-run spread,0.79,0.0,0.28,0.0,0.0,0.198,0.522,-0.004,0.6048,0.6426,0.3936,0.2249,0.1011,"PHI 2025, IND 2024, WAS 2024"
NYJ,2022,Under-center TE motion,0.94,0.554,0.0,0.03,0.276,0.072,0.068,0.0449,0.3837,0.4187,0.6423,0.0203,0.0238,"GB 2023, DET 2022, TB 2024"
NYJ,2023,"Under-center outside, static",0.96,0.251,0.435,0.185,0.0,0.119,0.01,-0.0273,0.2636,0.3773,0.5182,0.0591,0.0393,"MIN 2023, TEN 2023, CLE 2023"
NYJ,2024,Motion stretch,0.89,0.132,0.315,0.0,0.335,0.217,0.0,0.1918,0.5163,0.3862,0.5976,0.0691,0.004,"GB 2022, PIT 2025, DET 2023"
