season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate,cluster
2022,CHI,302,0.3609271523178808,0.2450331125827814,0.3013245033112582,0.0927152317880794,295,0.2813559322033898,1
2022,DEN,313,0.2396166134185303,0.2204472843450479,0.2779552715654952,0.2619808306709265,422,0.2227488151658767,1
2022,GB,248,0.3790322580645161,0.2137096774193548,0.189516129032258,0.2177419354838709,335,0.3074626865671642,1
2022,JAX,269,0.3494423791821561,0.1598513011152416,0.1598513011152416,0.3308550185873606,374,0.2352941176470588,1
2022,KC,246,0.3089430894308943,0.2032520325203252,0.2357723577235772,0.2520325203252032,539,0.1910946196660482,1
2022,MIN,226,0.2964601769911504,0.2168141592920354,0.2300884955752212,0.2566371681415929,395,0.3417721518987341,1
2022,NYG,277,0.2671480144404332,0.2346570397111913,0.2490974729241877,0.2490974729241877,392,0.2729591836734694,1
2022,NYJ,251,0.3147410358565737,0.199203187250996,0.2629482071713147,0.2231075697211155,367,0.220708446866485,1
2022,PHI,275,0.2363636363636363,0.2472727272727272,0.2,0.3163636363636363,409,0.2200488997555012,1
2022,SF,292,0.2397260273972602,0.25,0.2157534246575342,0.2945205479452055,352,0.2585227272727273,1
2022,WAS,331,0.323262839879154,0.2628398791540785,0.2779456193353474,0.1359516616314199,318,0.2672955974842767,1
2023,BAL,251,0.2948207171314741,0.2270916334661354,0.3147410358565737,0.1633466135458167,397,0.2367758186397985,1
2023,DAL,202,0.2623762376237624,0.2524752475247525,0.2524752475247525,0.2326732673267326,343,0.2798833819241982,1
2023,DEN,215,0.2930232558139535,0.2697674418604651,0.2604651162790697,0.1767441860465116,272,0.2242647058823529,1
2023,JAX,230,0.2956521739130435,0.1130434782608695,0.2608695652173913,0.3304347826086956,348,0.2442528735632184,1
2023,KC,267,0.3295880149812734,0.1573033707865168,0.2883895131086142,0.2247191011235955,515,0.1980582524271844,1
2023,LA,264,0.2727272727272727,0.1969696969696969,0.2159090909090909,0.3143939393939394,389,0.1953727506426735,1
2023,LAC,260,0.2692307692307692,0.2115384615384615,0.2307692307692307,0.2884615384615384,439,0.2414578587699316,1
