season,team,cluster_k5,label_k5,silhouette_k5,runner_up_k5,margin_k5,cluster_k7,label_k7,silhouette_k7,runner_up_k7,margin_k7,PC1,PC2,PC3,PC4,PC5,proe_early,under_center,pistol,pers_11,multi_te,two_back,empty_backfield,extra_ol,motion,no_huddle,outside_run,qb_design_run,rpo,play_action,screen,qb_out_of_pocket,time_to_throw,rb_target_share,te_target_share,n_plays,n_dropbacks
2022,PHI,2,Shotgun QB-run / RPO,0.398,"Shotgun spread, pass-first",0.49,4,Shotgun QB-run / RPO,0.393,Pass-first spread (early-down PROE),0.491,4.103,3.582,-0.489,-0.66,-0.131,0.0485,0.1003,0.0374,0.7555,0.2343,0.0068,0.1002,0.0034,0.2139,0.2343,0.5028,0.0628,0.1358,0.2,0.1211,0.2113,2.53,0.106,0.1821,589,355
2022,PIT,0,"Shotgun spread, pass-first",0.199,Under-center play-action,0.422,0,"Shotgun spread, balanced",0.317,Pass-first spread (early-down PROE),0.524,0.909,-0.067,0.317,-0.311,-0.322,-0.0675,0.345,0.0182,0.6889,0.2694,0.0708,0.0641,0.0181,0.3983,0.0989,0.479,0.0097,0.0585,0.1714,0.0716,0.2276,2.653,0.1953,0.207,720,391
2022,SEA,1,Under-center play-action,0.029,"Shotgun spread, pass-first",0.066,3,Pass-first spread (early-down PROE),0.026,"Under-center, multi-TE play-action",0.086,0.209,1.669,1.528,0.628,1.911,0.0519,0.3383,0.0821,0.46,0.491,0.0571,0.1046,0.0131,0.3007,0.1601,0.4571,0.0196,0.0441,0.2746,0.0622,0.1917,2.686,0.1257,0.2695,613,386
2022,SF,3,"Shanahan wide-zone, two-back motion",0.291,Under-center play-action,0.623,5,"Shanahan wide-zone, two-back motion",0.229,"Shotgun spread, balanced",0.581,-2.15,-0.558,-2.256,0.47,0.066,-0.0522,0.3638,0.0567,0.3843,0.2441,0.4117,0.1002,0.0,0.561,0.0128,0.5064,0.0146,0.0474,0.23,0.1267,0.11,2.669,0.2409,0.2153,549,300
2022,TB,0,"Shotgun spread, pass-first",0.258,Under-center play-action,0.359,0,"Shotgun spread, balanced",0.22,Pass-first spread (early-down PROE),0.273,1.299,-2.36,-1.835,0.796,-0.919,0.0145,0.3742,0.011,0.6661,0.2715,0.0265,0.0516,0.0296,0.4719,0.0766,0.4398,0.0031,0.0234,0.1823,0.1418,0.0228,2.403,0.1963,0.1379,641,395
2022,TEN,1,Under-center play-action,0.358,"Shotgun spread, pass-first",0.57,1,"Under-center, multi-TE play-action",0.408,"Shotgun spread, balanced",0.701,-1.786,-0.35,1.576,0.588,-0.638,-0.108,0.4759,0.0259,0.4905,0.4509,0.0706,0.074,0.0224,0.3821,0.0361,0.5191,0.0275,0.0155,0.3077,0.107,0.1304,2.703,0.185,0.2795,581,299
2022,WAS,0,"Shotgun spread, pass-first",0.135,Under-center play-action,0.197,0,"Shotgun spread, balanced",0.341,"Under-center, multi-TE play-action",0.548,-0.224,0.114,-1.026,-0.338,-1.435,-0.1231,0.3313,0.0354,0.6411,0.3374,0.0077,0.0952,0.0,0.5315,0.0522,0.5828,0.0092,0.1091,0.2673,0.0975,0.1384,2.67,0.209,0.1716,652,318
2023,ARI,1,Under-center play-action,0.164,Heavy power run + QB run,0.187,1,"Under-center, multi-TE play-action",0.24,Heavy power run + QB run,0.323,-0.666,1.68,2.335,0.418,-0.34,-0.0725,0.341,0.0071,0.5611,0.4106,0.0,0.069,0.0035,0.4053,0.0566,0.5153,0.0566,0.0549,0.3051,0.122,0.1627,2.4,0.1197,0.3552,565,295
2023,ATL,4,Heavy power run + QB run,0.277,"Shanahan wide-zone, two-back motion",0.459,6,Heavy power run + QB run,0.263,"Shanahan wide-zone, two-back motion",0.446,-6.335,3.589,-0.548,0.92,-0.241,-0.0816,0.246,0.2808,0.1691,0.5708,0.3887,0.0795,0.0043,0.591,0.0694,0.7941,0.0231,0.0289,0.3205,0.1014,0.1863,2.55,0.2476,0.3388,692,365
2023,BAL,2,Shotgun QB-run / RPO,0.179,"Shotgun spread, pass-first",0.272,4,Shotgun QB-run / RPO,0.151,"Shotgun spread, balanced",0.277,-0.226,2.004,-0.692,-1.269,0.942,0.0364,0.1355,0.06,0.4701,0.1641,0.3983,0.0496,0.0103,0.4923,0.0769,0.4712,0.065,0.0496,0.2316,0.0989,0.2345,2.44,0.1828,0.1862,585,354
