season,team,cluster,pc1,pc2,pct_under_center,pct_top_personnel,rush_rate,pa_personnel_match,disguise_entropy,outside_run_rate,pa_boot_rate,motion_rate,designed_qb_run_rate,rpo_rate,no_huddle_rate
2024,PHI,0,1.1231,2.928,0.1293,0.6677,0.5323,0.8435,0.83,0.4469,0.4286,0.4887,0.4331,0.0496,0.2947
2024,PIT,5,-0.4733,1.5416,0.447,0.4885,0.4847,0.8406,0.8123,0.5138,0.3839,0.4562,0.0399,0.0307,0.2212
2024,SEA,3,0.8916,-1.7158,0.2547,0.7453,0.4079,0.9059,0.8162,0.3739,0.2118,0.5009,0.0258,0.0465,0.1756
2024,SF,4,-1.8283,-0.4281,0.4231,0.7154,0.4687,0.9049,0.8494,0.4751,0.3026,0.7419,0.0797,0.0114,0.0114
2024,TB,4,-1.4784,-0.4121,0.3875,0.6656,0.4727,0.9044,0.805,0.5351,0.2326,0.5812,0.014,0.0203,0.0156
2024,TEN,1,0.3258,0.2742,0.311,0.6311,0.4964,0.8068,0.8794,0.4664,0.2151,0.5208,0.0271,0.0344,0.0127
2024,WAS,0,3.5955,2.8197,0.0618,0.5676,0.4485,0.8184,0.8859,0.5504,0.3551,0.4794,0.0779,0.0662,0.6853
2025,ARI,4,-1.444,-0.3557,0.3779,0.4574,0.3798,0.9271,0.8157,0.5795,0.3636,0.5136,0.0213,0.0174,0.0388
2025,ATL,5,-1.7398,0.4238,0.2126,0.4205,0.4497,0.9328,0.7098,0.638,0.2283,0.7307,0.0047,0.0488,0.0976
2025,BAL,5,-1.3853,2.2492,0.3618,0.4891,0.5291,0.9296,0.8167,0.5314,0.2609,0.5691,0.3836,0.0582,0.0218
2025,BUF,4,-0.9908,-0.1254,0.4782,0.6902,0.485,0.9507,0.8377,0.4479,0.3661,0.6662,0.0465,0.0782,0.0406
2025,CAR,1,0.2959,0.1208,0.3744,0.6177,0.4779,0.8871,0.8093,0.3913,0.54,0.534,0.0079,0.1074,0.0158
2025,CHI,5,-1.0708,1.1709,0.5272,0.5109,0.481,0.8325,0.879,0.5047,0.4258,0.6223,0.0408,0.0462,0.0272
2025,CIN,3,1.3925,-2.3476,0.2059,0.628,0.3685,0.9345,0.8433,0.335,0.2464,0.5848,0.0121,0.1038,0.0052
2025,CLE,5,-1.0136,1.2843,0.4046,0.4921,0.4886,0.956,0.8738,0.4125,0.375,0.5692,0.2837,0.0438,0.042
2025,DAL,4,-0.649,-0.8943,0.4123,0.6809,0.4299,0.9284,0.8577,0.4324,0.376,0.6461,0.0094,0.0506,0.049
2025,DEN,1,-0.0448,0.0622,0.3491,0.6851,0.4046,0.934,0.7944,0.5395,0.4545,0.5441,0.1818,0.1001,0.1278
2025,DET,4,-2.1431,0.2209,0.5407,0.5576,0.4525,0.8903,0.7935,0.5462,0.2059,0.6458,0.1559,0.0356,0.0458
2025,GB,1,0.7904,1.0391,0.3911,0.5941,0.4859,0.8932,0.934,0.5017,0.3636,0.5941,0.0237,0.1022,0.0667
2025,HOU,4,-0.7218,-1.2962,0.3966,0.7475,0.4353,0.8455,0.8129,0.3688,0.4234,0.6034,0.0171,0.0243,0.0228
2025,IND,2,2.4926,-0.1754,0.2816,0.6128,0.4418,0.7144,0.9116,0.3608,0.2705,0.568,0.0287,0.104,0.0368
2025,JAX,4,-0.9828,-1.1166,0.3837,0.6844,0.4319,0.9648,0.8315,0.4519,0.2796,0.6362,0.0349,0.0415,0.0581
2025,KC,2,2.5389,-0.072,0.2179,0.5552,0.4281,0.8087,0.8705,0.4303,0.369,0.5098,0.003,0.1498,0.0061
2025,LA,4,-2.9104,-1.6788,0.6029,0.6136,0.3904,0.9282,0.7538,0.4542,0.3354,0.6604,0.0053,0.0027,0.0588
2025,LAC,4,-0.6311,-1.2719,0.3267,0.7479,0.4279,0.9498,0.8701,0.442,0.3689,0.5821,0.0166,0.0249,0.01
2025,LV,4,-0.9249,-1.06,0.4132,0.5132,0.434,0.8841,0.7689,0.344,0.2913,0.5849,0.0189,0.0377,0.0528
2025,MIA,5,-0.4727,1.0629,0.305,0.5872,0.4679,0.8314,0.8707,0.6313,0.3647,0.7431,0.0115,0.0665,0.0206
2025,MIN,4,-1.1019,0.1104,0.5009,0.6141,0.4657,0.9123,0.8277,0.5219,0.3267,0.5659,0.0204,0.0594,0.0538
