season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate
2022,PHI,275,0.23636363636363636,0.24727272727272728,0.2,0.31636363636363635,409,0.2200488997555012
2022,PIT,326,0.19938650306748465,0.2668711656441718,0.29141104294478526,0.24233128834355827,391,0.17135549872122763
2022,SEA,241,0.1991701244813278,0.26556016597510373,0.3153526970954357,0.21991701244813278,404,0.2747524752475248
2022,SF,292,0.23972602739726026,0.25,0.21575342465753425,0.2945205479452055,352,0.2585227272727273
2022,TB,250,0.188,0.24,0.308,0.264,412,0.1820388349514563
2022,TEN,282,0.25886524822695034,0.26595744680851063,0.24113475177304963,0.23404255319148937,299,0.3076923076923077
2022,WAS,331,0.32326283987915405,0.2628398791540785,0.27794561933534745,0.13595166163141995,318,0.2672955974842767
2023,ARI,263,0.2737642585551331,0.2661596958174905,0.13307984790874525,0.3269961977186312,295,0.3050847457627119
2023,ATL,320,0.39375,0.4,0.125,0.08125,365,0.32054794520547947
2023,BAL,251,0.2948207171314741,0.22709163346613545,0.3147410358565737,0.16334661354581673,397,0.2367758186397985
2023,BUF,294,0.20408163265306123,0.15306122448979592,0.3673469387755102,0.2755102040816326,435,0.2206896551724138
2023,CAR,265,0.16981132075471697,0.27547169811320754,0.30566037735849055,0.2490566037735849,338,0.19230769230769232
2023,CHI,237,0.3333333333333333,0.28270042194092826,0.24050632911392406,0.14345991561181434,295,0.3016949152542373
2023,CIN,192,0.21875,0.140625,0.3385416666666667,0.3020833333333333,411,0.2116788321167883
2023,CLE,263,0.22053231939163498,0.2965779467680608,0.34600760456273766,0.13688212927756654,388,0.26288659793814434
2023,DAL,202,0.2623762376237624,0.2524752475247525,0.2524752475247525,0.23267326732673269,343,0.27988338192419826
2023,DEN,215,0.2930232558139535,0.26976744186046514,0.26046511627906976,0.17674418604651163,272,0.22426470588235295
2023,DET,297,0.30303030303030304,0.2895622895622896,0.1414141414141414,0.265993265993266,380,0.25526315789473686
2023,GB,287,0.21254355400696864,0.2613240418118467,0.2961672473867596,0.22996515679442509,377,0.2917771883289125
2023,HOU,274,0.22627737226277372,0.26277372262773724,0.2591240875912409,0.2518248175182482,375,0.2906666666666667
2023,IND,274,0.15328467153284672,0.24452554744525548,0.20072992700729927,0.40145985401459855,370,0.2594594594594595
2023,JAX,230,0.2956521739130435,0.11304347826086956,0.2608695652173913,0.33043478260869563,348,0.2442528735632184
2023,KC,267,0.3295880149812734,0.15730337078651685,0.2883895131086142,0.2247191011235955,515,0.19805825242718447
2023,LA,264,0.2727272727272727,0.19696969696969696,0.2159090909090909,0.3143939393939394,389,0.1953727506426735
2023,LAC,260,0.2692307692307692,0.21153846153846154,0.23076923076923078,0.28846153846153844,439,0.24145785876993167
2023,LV,222,0.1981981981981982,0.20270270270270271,0.2702702702702703,0.32882882882882886,303,0.24752475247524752
2023,MIA,193,0.5233160621761658,0.12435233160621761,0.14507772020725387,0.20725388601036268,332,0.28012048192771083
2023,MIN,239,0.25523012552301255,0.2803347280334728,0.23430962343096234,0.2301255230125523,401,0.36159600997506236
2023,NE,250,0.148,0.148,0.308,0.396,359,0.18384401114206128
2023,NO,252,0.1865079365079365,0.2619047619047619,0.4087301587301587,0.14285714285714285,345,0.1681159420289855
2023,NYG,215,0.24651162790697675,0.23255813953488372,0.23255813953488372,0.28837209302325584,310,0.23548387096774193
2023,NYJ,225,0.2222222222222222,0.25333333333333335,0.2577777777777778,0.26666666666666666,328,0.2621951219512195
2023,PHI,267,0.27715355805243447,0.13108614232209737,0.29213483146067415,0.299625468164794,401,0.2793017456359102
2023,PIT,303,0.18151815181518152,0.2706270627062706,0.3465346534653465,0.20132013201320131,343,0.1924198250728863
2023,SEA,247,0.19838056680161945,0.1902834008097166,0.3076923076923077,0.30364372469635625,401,0.28428927680798005
2023,SF,268,0.23134328358208955,0.27611940298507465,0.21641791044776118,0.27611940298507465,374,0.232620320855615
2023,TB,263,0.155893536121673,0.22053231939163498,0.24714828897338403,0.376425855513308,405,0.2839506172839506
2023,TEN,285,0.23157894736842105,0.22105263157894736,0.26666666666666666,0.2807017543859649,345,0.3188405797101449
2023,WAS,189,0.18518518518518517,0.25925925925925924,0.3333333333333333,0.2222222222222222,360,0.225
2024,ARI,212,0.2641509433962264,0.24528301886792453,0.14622641509433962,0.3443396226415094,319,0.3103448275862069
2024,ATL,315,0.4158730158730159,0.3523809523809524,0.18412698412698414,0.047619047619047616,378,0.18253968253968253
2024,BAL,278,0.30935251798561153,0.22661870503597123,0.2949640287769784,0.16906474820143885,305,0.3180327868852459
2024,BUF,301,0.14950166112956811,0.2425249169435216,0.36212624584717606,0.24584717607973422,366,0.23770491803278687
2024,CAR,229,0.16593886462882096,0.22707423580786026,0.29694323144104806,0.31004366812227074,309,0.31715210355987056
2024,CHI,219,0.3424657534246575,0.182648401826484,0.2602739726027397,0.2146118721461187,310,0.26129032258064516
2024,CIN,197,0.17766497461928935,0.2233502538071066,0.37055837563451777,0.22842639593908629,451,0.2106430155210643
2024,CLE,217,0.20276497695852536,0.29493087557603687,0.3087557603686636,0.1935483870967742,348,0.29310344827586204
2024,DAL,258,0.20930232558139536,0.1937984496124031,0.29844961240310075,0.29844961240310075,352,0.2528409090909091
2024,DEN,243,0.2222222222222222,0.21810699588477367,0.36213991769547327,0.19753086419753085,352,0.30113636363636365
